"HZ","DB"
1,-77.3
1.023,-75.7
1.045,-74.11
1.067,-72.51
1.09,-70.91
1.112,-70.2
1.135,-69.49
1.157,-68.77
1.18,-68.06
1.202,-70.97
1.225,-73.88
1.247,-76.79
1.27,-79.7
1.292,-79.64
1.315,-79.57
1.337,-79.51
1.36,-79.44
1.382,-78.38
1.405,-77.32
1.427,-76.26
1.45,-75.19
1.472,-73.79
1.495,-72.39
1.517,-70.99
1.54,-69.59
1.562,-69.54
1.585,-69.49
1.607,-69.44
1.63,-69.39
1.652,-69.14
1.675,-68.88
1.697,-68.62
1.72,-68.36
1.742,-68.2
1.765,-68.03
1.787,-67.86
1.81,-67.69
1.832,-67.16
1.855,-66.63
1.877,-66.1
1.9,-65.57
1.922,-65.16
1.945,-64.74
1.967,-64.33
1.99,-63.91
2.012,-63.1
2.035,-62.3
2.057,-61.49
2.08,-60.68
2.102,-61.4
2.125,-62.11
2.147,-62.83
2.17,-63.54
2.192,-63.03
2.215,-62.52
2.237,-62
2.26,-61.49
2.282,-61.3
2.305,-61.1
2.327,-60.91
2.35,-60.72
2.372,-60.79
2.395,-60.86
2.417,-60.93
2.44,-61.01
2.462,-60.65
2.485,-60.29
2.507,-59.93
2.53,-59.57
2.552,-59.09
2.575,-58.61
2.597,-58.14
2.62,-57.66
2.642,-57.3
2.665,-56.95
2.687,-56.59
2.71,-56.23
2.732,-55.79
2.755,-55.36
2.777,-54.92
2.8,-54.48
2.822,-54.17
2.845,-53.86
2.867,-53.55
2.89,-53.24
2.912,-53.06
2.935,-52.87
2.957,-52.68
2.98,-52.49
3.002,-52.16
3.025,-51.82
3.047,-51.49
3.07,-51.16
3.092,-50.59
3.115,-50.02
3.137,-49.45
3.16,-48.89
3.182,-48.39
3.205,-47.88
3.227,-47.38
3.25,-46.88
3.272,-46.45
3.295,-46.02
3.317,-45.59
3.34,-45.15
3.362,-44.63
3.385,-44.11
3.407,-43.59
3.43,-43.07
3.452,-42.75
3.475,-42.43
3.497,-42.11
3.52,-41.79
3.542,-41.03
3.565,-40.27
3.587,-39.51
3.61,-38.76
3.632,-37.91
3.655,-37.07
3.677,-36.23
3.7,-35.38
3.722,-34.24
3.745,-33.1
3.767,-31.95
3.79,-30.81
3.812,-30.15
3.835,-29.5
3.857,-28.84
3.88,-28.18
3.902,-26.66
3.925,-25.13
3.947,-23.6
3.97,-22.08
3.992,-21.5
4.015,-20.93
4.037,-20.36
4.06,-19.79
4.082,-22.55
4.105,-25.31
4.127,-28.08
4.15,-30.84
4.172,-30.64
4.195,-30.44
4.217,-30.24
4.24,-30.04
4.262,-30.7
4.285,-31.36
4.307,-32.02
4.33,-32.68
4.352,-33.24
4.375,-33.81
4.397,-34.37
4.42,-34.94
4.442,-35.1
4.465,-35.26
4.487,-35.42
4.51,-35.58
4.532,-35.79
4.555,-36
4.577,-36.21
4.6,-36.42
4.622,-36.59
4.645,-36.77
4.667,-36.94
4.69,-37.11
4.712,-37.33
4.735,-37.55
4.757,-37.77
4.78,-37.99
4.802,-38.11
4.825,-38.23
4.847,-38.34
4.87,-38.46
4.892,-38.56
4.915,-38.65
4.937,-38.74
4.96,-38.84
4.982,-38.91
5.005,-38.98
5.027,-39.05
5.05,-39.13
5.072,-39.16
5.095,-39.19
5.117,-39.23
5.14,-39.26
5.162,-39.27
5.185,-39.29
5.207,-39.3
5.23,-39.31
5.252,-39.32
5.275,-39.32
5.297,-39.32
5.32,-39.33
5.342,-39.44
5.365,-39.54
5.387,-39.65
5.41,-39.76
5.432,-39.77
5.455,-39.79
5.477,-39.8
5.5,-39.81
5.522,-39.8
5.545,-39.79
5.567,-39.78
5.59,-39.77
5.612,-39.8
5.635,-39.82
5.657,-39.85
5.68,-39.88
5.702,-39.84
5.725,-39.8
5.747,-39.77
5.77,-39.73
5.792,-39.77
5.815,-39.81
5.837,-39.85
5.86,-39.9
5.882,-39.88
5.905,-39.86
5.927,-39.84
5.95,-39.82
5.972,-39.77
5.995,-39.71
6.017,-39.66
6.04,-39.61
6.062,-39.65
6.085,-39.69
6.107,-39.72
6.13,-39.76
6.152,-39.75
6.175,-39.73
6.197,-39.72
6.22,-39.71
6.242,-39.7
6.265,-39.7
6.287,-39.7
6.31,-39.69
6.332,-39.63
6.355,-39.57
6.377,-39.51
6.4,-39.45
6.422,-39.55
6.445,-39.65
6.467,-39.75
6.49,-39.85
6.512,-39.87
6.535,-39.9
6.557,-39.92
6.58,-39.95
6.602,-39.92
6.625,-39.9
6.647,-39.87
6.67,-39.84
6.692,-39.81
6.715,-39.78
6.737,-39.76
6.76,-39.73
6.782,-39.71
6.805,-39.7
6.827,-39.69
6.85,-39.67
6.872,-39.62
6.895,-39.56
6.917,-39.51
6.94,-39.45
6.962,-39.41
6.985,-39.36
7.007,-39.32
7.03,-39.27
7.052,-39.26
7.075,-39.26
7.097,-39.25
7.12,-39.24
7.142,-39.22
7.165,-39.2
7.187,-39.18
7.21,-39.16
7.232,-39.14
7.255,-39.12
7.277,-39.11
7.3,-39.09
7.322,-39.06
7.345,-39.03
7.367,-39
7.39,-38.97
7.412,-38.95
7.435,-38.93
7.457,-38.91
7.48,-38.89
7.502,-38.89
7.525,-38.89
7.547,-38.88
7.57,-38.88
7.592,-38.88
7.615,-38.87
7.637,-38.86
7.66,-38.86
7.682,-38.82
7.705,-38.78
7.727,-38.74
7.75,-38.7
7.772,-38.67
7.795,-38.63
7.817,-38.6
7.84,-38.57
7.862,-38.56
7.885,-38.56
7.907,-38.55
7.93,-38.54
7.952,-38.54
7.975,-38.54
7.997,-38.54
8.02,-38.54
8.042,-38.53
8.065,-38.52
8.087,-38.51
8.11,-38.5
8.132,-38.44
8.155,-38.38
8.177,-38.31
8.2,-38.25
8.222,-38.26
8.245,-38.26
8.267,-38.27
8.29,-38.27
8.313,-38.18
8.335,-38.1
8.358,-38.01
8.38,-37.92
8.403,-37.84
8.425,-37.77
8.448,-37.69
8.47,-37.61
8.493,-37.55
8.515,-37.48
8.538,-37.42
8.56,-37.35
8.583,-37.33
8.605,-37.32
8.628,-37.3
8.65,-37.29
8.673,-37.2
8.695,-37.1
8.718,-37.01
8.74,-36.92
8.763,-36.95
8.785,-36.98
8.808,-37.01
8.83,-37.04
8.853,-37.09
8.875,-37.14
8.898,-37.19
8.92,-37.24
8.943,-37.17
8.965,-37.1
8.988,-37.02
9.01,-36.95
9.033,-37.02
9.055,-37.1
9.078,-37.18
9.1,-37.25
9.123,-37.18
9.145,-37.1
9.168,-37.03
9.19,-36.95
9.213,-36.92
9.235,-36.88
9.258,-36.84
9.28,-36.8
9.303,-36.75
9.325,-36.7
9.348,-36.65
9.37,-36.6
9.393,-36.59
9.415,-36.58
9.438,-36.57
9.46,-36.55
9.483,-36.53
9.505,-36.51
9.528,-36.49
9.55,-36.47
9.573,-36.42
9.595,-36.37
9.618,-36.32
9.64,-36.27
9.663,-36.2
9.685,-36.13
9.708,-36.06
9.73,-35.99
9.753,-35.92
9.775,-35.84
9.798,-35.77
9.82,-35.7
9.843,-35.65
9.865,-35.61
9.888,-35.56
9.91,-35.52
9.933,-35.46
9.955,-35.4
9.978,-35.35
10,-35.29
