"HZ","DB"
180.1,-19
180.6,-18.97
181.1,-19.07
181.6,-19.16
182.1,-19.19
182.6,-19.21
183.1,-19.22
183.6,-19.24
184.1,-19.26
184.6,-19.28
185.1,-19.3
185.6,-19.3
186.1,-19.31
186.6,-19.32
187.1,-19.33
187.6,-19.33
188.1,-19.34
188.6,-19.35
189.1,-19.36
189.6,-19.37
190.1,-19.37
190.5,-19.38
191,-19.39
191.5,-19.4
192,-19.41
192.5,-19.41
193,-19.38
193.5,-19.35
194,-19.31
194.5,-19.28
195,-19.25
195.5,-19.21
196,-19.18
196.5,-19.14
197,-19.11
197.5,-19.08
198,-19.04
198.5,-19.01
199,-18.97
199.5,-18.94
200,-18.9
